First_line,City,Postcode,Council_ward,Bedrooms,Bathrooms,Lounges,Price,Square_ft,Property_type,Council_tax_band,EPC_band,Parking,Longitude,Latitude
15 Hollybank Place,Aberdeen,AB11 6XR,Torry/Ferryhill,1,1,1,450,40,Flat,CT Band A,EPC band D,,-2.112569,57.1395924
1e Summer Street,Aberdeen,AB24 4EY,Hilton/Woodside/Stockethill,5,2,1,1500,101,Flat,CT Band E,EPC band B,Parking,-2.1249352,57.1687273
"37 The Bastille,  75 Maberly Street",Aberdeen,AB25 1NL,George St/Harbour,2,2,1,800,100,Flat,CT Band E,EPC band D,Parking,-2.1075009,57.1516294
5 Woodlands Terrace,Aberdeen,AB15 9DG,Lower Deeside,4,2,1,1500,148,House Terraced,CT Band G,EPC band C,Parking,-2.1677091,57.1243697
"Argent Court,  37 Old Mill Road",Aberdeen,AB11 6EG,Torry/Ferryhill,2,2,1,900,59,Flat,CT Band D,EPC band B,Parking,-2.103423,57.141974
"Flat F,  48 Market Street",Aberdeen,AB11 5QE,George St/Harbour,3,1,0,700,93,Flat,CT Band B,EPC band D,,-2.0961369,57.1456548
72 Bloomfield Court,Aberdeen,AB10 6DS,Torry/Ferryhill,2,1,1,600,53,Flat,CT Band D,EPC band C,Parking,-2.112988,57.1354545
90 Merkland Road East,Aberdeen,AB24 5PZ,George St/Harbour,2,1,1,600,60,Flat,CT Band D,EPC band C,Parking,-2.0913355,57.1586919
"37 Strachan Mill Court,  Leadside Road",Aberdeen,AB25 1TX,Midstocket/Rosemount,2,1,1,570,56,Flat,CT Band C,EPC band C,Parking,-2.1115629,57.1483875
274 Hardgate,Aberdeen,AB10 6AA,Torry/Ferryhill,1,1,1,425,45,Flat,CT Band A,EPC band E,Parking,-2.114178,57.135874
96B Bedford Place,Aberdeen,AB24 3NX,Tillydrone/Seaton/Old Aberdeen,1,1,1,450,43,Flat,CT Band B,EPC band C,,-2.1098219,57.1613658
140 Shaw Crescent,Aberdeen,AB25 3BU,Midstocket/Rosemount,3,3,1,950,112,Flat,CT Band E,EPC band C,Parking,-2.1235365,57.1574834
607 George Street,Aberdeen,AB25 3YH,George St/Harbour,1,1,1,375,50,Flat,CT Band A,EPC band D,,-2.1089023,57.1564582
"18 Urquhart Court,  105 Urquhart Road",Aberdeen,AB24 5JP,George St/Harbour,2,1,1,700,54,Flat,CT Band D,EPC band B,Parking,-2.0882909,57.1551149
46 Fonthill Terrace,Aberdeen,AB11 7UR,Torry/Ferryhill,2,1,1,600,71,Flat,CT Band C,EPC band C,Parking,-2.1099228,57.1366953
"100 Dee Village,  Millburn Street",Aberdeen,AB11 6SZ,Torry/Ferryhill,2,2,1,795,65,Flat,CT Band D,EPC band C,Parking,-2.0993279,57.139226
"Flat 22, Millbank View,  Grandholm Crescent",Aberdeen,AB22 8BE,Dyce/Bucksburn/Danestone,2,2,1,675,65,Flat,CT Band D,EPC band B,Parking,-2.1232186,57.1771566
490A King Street,Aberdeen,AB24 5ST,Tillydrone/Seaton/Old Aberdeen,3,1,0,675,97,Flat,CT Band C,EPC band F,,-2.0965835,57.1622188
129 Hilton Avenue,Aberdeen,AB24 4LL,Hilton/Woodside/Stockethill,4,1,2,1100,115,House Semi Detached,CT Band E,EPC band F,Parking,-2.130426,57.1648758
46 Mid Stocket Road,Aberdeen,AB15 5JD,Midstocket/Rosemount,2,1,1,470,47,Flat,CT Band B,EPC band E,,-2.1266663,57.1497858
125 Crown Street,Aberdeen,AB11 6HP,Torry/Ferryhill,2,1,1,550,68,Flat,CT Band C,EPC band D,Parking,-2.100944,57.141797
8 Ferryhill Terrace,Aberdeen,AB11 6SQ,Torry/Ferryhill,1,1,1,495,43,Flat,CT Band A,EPC band D,,-2.1018041,57.1393494
6 Affleck Street,Aberdeen,AB11 6JH,Torry/Ferryhill,2,2,1,750,70,Flat,CT Band D,EPC band C,Parking,-2.099621,57.141528
"167 Lewis House,  Oakhill Grange",Aberdeen,AB15 5EA,Midstocket/Rosemount,2,2,1,1200,86,Flat,CT Band F,EPC band B,Parking,-2.141438149,57.1491026
20G James Street,Aberdeen,AB11 5AP,George St/Harbour,2,1,1,590,56,Flat,CT Band B,EPC band B,Parking,-2.0903154,57.1471315
553 Great Western Road,Aberdeen,AB10 6PE,Airyhall/Broomhill/Garthdee,1,1,1,400,35,Flat,CT Band A,EPC band C,,-2.138248,57.131071
"Flat B,  64 Ashvale Place",Aberdeen,AB10 6QB,Hazlehead/Queens Cross/Countesswells,1,1,1,350,39,Flat,CT Band A,EPC band F,,-2.117851,57.140546
106a Constitution Street,Aberdeen,AB24 5DZ,George St/Harbour,2,1,1,625,62,Flat,CT Band D,EPC band D,Parking,-2.0850397,57.1526687
42 Claremont Gardens,Aberdeen,AB10 6RG,Hazlehead/Queens Cross/Countesswells,1,1,1,525,55,Flat,CT Band C,EPC band D,Parking,-2.118944,57.138547
28 Pitmedden Mews,Aberdeen,AB21 7ER,Dyce/Bucksburn/Danestone,2,1,1,625,64,Flat,CT Band C,EPC band C,Parking,-2.1898839,57.2110688
30 Morningfield Mews,Aberdeen,AB15 4ER,Hazlehead/Queens Cross/Countesswells,2,2,1,775,74,Flat,CT Band E,EPC band C,Parking,-2.1384198,57.1461623
12 Murray Terrace,Aberdeen,AB11 7SD,Torry/Ferryhill,2,1,1,700,74,Flat,CT Band D,EPC band C,Parking,-2.1042245,57.1332689
262 Union Grove,Aberdeen,AB10 6TR,Hazlehead/Queens Cross/Countesswells,1,1,1,425,47,Flat,CT Band B,EPC band D,,-2.1263999,57.1393438
15 Carmelite Street,Aberdeen,AB11 6NQ,George St/Harbour,2,1,1,550,64,Flat,CT Band D,EPC band C,Parking,-2.0982611,57.145841
8 Gairn Terrace,Aberdeen,AB10 6BB,Torry/Ferryhill,1,1,1,500,53,Flat,CT Band C,EPC band C,Parking,-2.1094347,57.1335159
33 Menzies Road,Aberdeen,AB11 9AU,Torry/Ferryhill,1,1,1,395,37,Flat,CT Band A,EPC band D,,-2.0898621,57.1374212
Hillside Of Borrowstone,Aberdeen,AB15 8RQ,Dyce/Bucksburn/Danestone,3,2,1,900,116,House Detached,CT Band F,EPC band C,Parking,-2.255442,57.1656962
